,training_loss,testing_loss
0,7.074108,7.1313176
1,2.8935292,2.9143782
2,1.1800989,1.1804278
3,1.055545,1.0621629
4,0.93459797,0.948111
5,0.82395905,0.84432447
6,0.74627113,0.7715756
7,0.7055405,0.73363554
8,0.68238896,0.7112665
9,0.6648496,0.6934659
10,0.64962,0.67713845
11,0.6356045,0.6616724
12,0.62294567,0.64714044
13,0.61150616,0.6338391
14,0.6009838,0.621154
15,0.5910664,0.60929406
16,0.581988,0.5987827
17,0.57347393,0.5893987
18,0.5653138,0.58083797
19,0.5579997,0.5730553
20,0.5510641,0.5660283
21,0.5440479,0.5592446
22,0.5373012,0.552843
23,0.5304705,0.5465658
24,0.52334195,0.5402319
25,0.51576805,0.53384554
26,0.50811976,0.527279
27,0.50005364,0.520693
28,0.4923803,0.51415426
29,0.48479843,0.507549
30,0.47689408,0.5007035
31,0.4686541,0.49383104
32,0.46040934,0.48710787
33,0.45271617,0.48058116
34,0.4456275,0.47419655
35,0.43869847,0.4679798
36,0.4322939,0.46178567
37,0.42644674,0.45569777
38,0.42076182,0.4496833
39,0.41510838,0.44373056
40,0.40930957,0.43795648
41,0.40343875,0.43241706
42,0.39801258,0.4273129
43,0.39318222,0.42263636
44,0.38912392,0.41829744
45,0.38563392,0.41435614
46,0.38250047,0.410766
47,0.37960288,0.40748435
48,0.37674403,0.4044914
49,0.37421873,0.4018083
50,0.37196165,0.3993961
51,0.36991724,0.3972167
52,0.3681287,0.3952783
53,0.36654544,0.39350596
54,0.36510363,0.3919046
55,0.36366922,0.39043197
56,0.36237684,0.38908166
57,0.36126822,0.3878493
58,0.36021072,0.38672775
59,0.3592325,0.3856815
60,0.35833418,0.3847096
61,0.35753506,0.38381228
62,0.3567999,0.38298592
63,0.35609424,0.38220894
64,0.35541356,0.38148975
65,0.35478777,0.3808084
66,0.35425442,0.3801657
67,0.35368544,0.37955618
68,0.35312113,0.3789682
69,0.3525889,0.3784102
70,0.3520547,0.37787113
71,0.35154954,0.3773514
72,0.35105008,0.37685612
73,0.35055643,0.37638062
74,0.35008824,0.37591764
75,0.3497035,0.37546742
76,0.34933856,0.37502712
77,0.34895205,0.37460414
78,0.34851605,0.3741883
79,0.34812742,0.37378764
80,0.3477441,0.37341094
81,0.3473302,0.37303603
82,0.3470382,0.3726849
83,0.34667456,0.37234047
84,0.34635565,0.3720009
85,0.34608707,0.37167633
86,0.34577903,0.37135738
87,0.3454808,0.37103966
88,0.34524602,0.370735
89,0.34502417,0.37043393
90,0.34486178,0.37015542
91,0.34462783,0.36987188
92,0.34441143,0.36960363
93,0.34423846,0.36934805
94,0.34404808,0.36909693
95,0.3438898,0.36884302
96,0.3437178,0.3685858
97,0.3435689,0.3683391
98,0.3434309,0.3681066
99,0.34332806,0.3678655
100,0.34319502,0.36764327
101,0.34301955,0.36742228
102,0.34288067,0.367205
103,0.34269485,0.36698812
104,0.3425625,0.36677328
105,0.3424264,0.36656564
106,0.34226018,0.3663649
107,0.34211797,0.36616153
108,0.34199804,0.3659736
109,0.34190726,0.3657863
110,0.3417417,0.3656046
111,0.3415831,0.36542445
112,0.34147054,0.3652527
113,0.34136647,0.3650784
114,0.3412357,0.3649098
115,0.34112167,0.36474362
116,0.34101585,0.3645875
117,0.3409431,0.36442572
118,0.34078273,0.3642702
